PriceDate,Category,HighAlch,ItemName,LowAlch,MembersOnly,Price
1415433600,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1416211200,Melee weapons - low level,0,Off-hand adamant sword,0,No,720
1415347200,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1416124800,Melee weapons - low level,0,Off-hand adamant sword,0,No,720
1415260800,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1416038400,Melee weapons - low level,0,Off-hand adamant sword,0,No,720
1415174400,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1415952000,Melee weapons - low level,0,Off-hand adamant sword,0,No,720
1415088000,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1415865600,Melee weapons - low level,0,Off-hand adamant sword,0,No,720
1415001600,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1415779200,Melee weapons - low level,0,Off-hand adamant sword,0,No,720
1414911600,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1415692800,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1414825200,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1415606400,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1414738800,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1415520000,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1414652400,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1414566000,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1413702000,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1414479600,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1413615600,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1414393200,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1413529200,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1414306800,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1413442800,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1414220400,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1413356400,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1414134000,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1413270000,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1414047600,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1413183600,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1413961200,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1413097200,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1413874800,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1413010800,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1413788400,Melee weapons - low level,0,Off-hand adamant sword,0,No,726
1412924400,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1412838000,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1411974000,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1412751600,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1411887600,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1412665200,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1411801200,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1412578800,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1411714800,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1412492400,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1411628400,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
1412406000,Melee weapons - low level,0,Off-hand adamant sword,0,No,746
